group	x	y	showSelected1
5	6	94.5614035087719	GP_LIN
5	6	93.5087719298246	GP_SE
5	8	93.1578947368421	GP_LIN
5	8	93.6842105263158	GP_SE
5	10	93.3333333333333	GP_LIN
5	10	94.0350877192983	GP_SE
5	12	95.4385964912281	GP_LIN
5	12	95.7894736842105	GP_SE
5	14	92.1052631578947	GP_LIN
5	14	94.7368421052632	GP_SE
5	16	90.8771929824561	GP_LIN
5	16	97.3684210526316	GP_SE
5	18	91.0526315789474	GP_LIN
5	18	97.719298245614	GP_SE
5	20	94.9122807017544	GP_LIN
5	20	97.719298245614	GP_SE
5	25	94.9122807017544	GP_LIN
5	25	97.719298245614	GP_SE
5	30	96.8421052631579	GP_LIN
5	30	97.5438596491228	GP_SE
5	31.4	96.8421052631579	GP_LIN
5	31.4	97.5438596491228	GP_SE
5	31.4	96.4912280701754	GP_LIN
5	31.4	97.5438596491228	GP_SE
5	31.4	96.4912280701754	GP_LIN
5	31.4	97.8947368421053	GP_SE
5	31.4	96.6666666666667	GP_LIN
5	31.4	97.8947368421053	GP_SE
5	31.4	95.7894736842105	GP_LIN
5	31.4	97.8947368421053	GP_SE
5	31.4	95.7894736842105	GP_LIN
5	31.4	98.0701754385965	GP_SE
6	2	92.280701754386	GP_LIN
6	2	92.280701754386	GP_SE
6	4	92.280701754386	GP_LIN
6	4	92.280701754386	GP_SE
6	6	92.280701754386	GP_LIN
6	6	92.280701754386	GP_SE
6	8	92.280701754386	GP_LIN
6	8	92.280701754386	GP_SE
6	10	92.280701754386	GP_LIN
6	10	92.280701754386	GP_SE
6	12	92.280701754386	GP_LIN
6	12	92.280701754386	GP_SE
6	14	92.280701754386	GP_LIN
6	14	92.280701754386	GP_SE
6	16	92.280701754386	GP_LIN
6	16	92.280701754386	GP_SE
6	18	92.280701754386	GP_LIN
6	18	92.280701754386	GP_SE
6	20	92.280701754386	GP_LIN
6	20	92.280701754386	GP_SE
6	25	92.280701754386	GP_LIN
6	25	92.280701754386	GP_SE
6	30	92.280701754386	GP_LIN
6	30	92.280701754386	GP_SE
6	31.4	92.280701754386	GP_LIN
6	31.4	92.280701754386	GP_SE
6	31.4	92.280701754386	GP_LIN
6	31.4	92.280701754386	GP_SE
6	31.4	92.280701754386	GP_LIN
6	31.4	92.280701754386	GP_SE
6	31.4	92.280701754386	GP_LIN
6	31.4	92.280701754386	GP_SE
6	31.4	92.280701754386	GP_LIN
6	31.4	92.280701754386	GP_SE
6	31.4	92.280701754386	GP_LIN
6	31.4	92.280701754386	GP_SE
