group	x	ymin	ymax	showSelected2
5	2	73.75	90.1754385964912	GP_LIN
5	4	86.6666666666667	90.1754385964912	GP_LIN
5	6	76.4912280701755	94.7368421052632	GP_LIN
5	8	80	95.6140350877193	GP_LIN
5	10	78.421052631579	95.4385964912281	GP_LIN
5	12	74.3859649122807	96.140350877193	GP_LIN
5	14	74.0350877192983	94.3859649122807	GP_LIN
5	16	73.75	93.859649122807	GP_LIN
5	18	73.75	94.3859649122807	GP_LIN
5	20	87.719298245614	97.1929824561404	GP_LIN
5	25	91.2280701754386	97.719298245614	GP_LIN
5	30	96.3157894736842	97.719298245614	GP_LIN
5	31.4	92.1052631578947	97.719298245614	GP_LIN
